,0
TotalCharges,0.17316347499423174
MonthlyCharges,0.16242368144421054
tenure,0.1563498662814967
Contract,0.10785589443410813
OnlineSecurity,0.05668916747718889
PaymentMethod,0.048646054340468925
TechSupport,0.047131592928511316
InternetService,0.03115710972641047
OnlineBackup,0.02725607332304659
gender,0.02513030562318104
PaperlessBilling,0.024777137382364974
DeviceProtection,0.02174019918348741
Partner,0.02113505187458438
MultipleLines,0.02068815646152895
Dependents,0.019748780637495952
SeniorCitizen,0.017460320169579414
StreamingMovies,0.017187416420813836
StreamingTV,0.01626398283598977
PhoneService,0.005195734461301033
